receiptId,grnNumber,poRef,invoiceRef,deliveryNoteRef,purchaseId,agreementId,country,storageId,warehouseKind,reachedStep,scannedAtMain,stockId,qtyOrdered,qtyReceived,qtyAccepted,qtyRejected,condition,inspectedBy,orderDate,receiptDate,vatTaxPointDate
RCP-0026,GRN-SK-2026-0026,PO-2026-4376,INV-0010,,PUR-0010-0,AGR-006,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,MSC-200,1158,1158,1158,0,Good,P. Novák,2026-05-05,2026-05-14,
RCP-0027,GRN-SK-2026-0027,PO-2026-4376,INV-0010,,PUR-0010-1,AGR-006,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,EDP-100,1158,1158,1158,0,Good,P. Novák,2026-05-05,2026-05-17,
RCP-0028,GRN-SK-2026-0028,PO-2026-4376,INV-0010,,PUR-0010-2,AGR-006,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,LIP-004,1158,1158,1158,0,Good,P. Novák,2026-05-05,2026-05-20,
RCP-0029,GRN-SK-2026-0029,PO-2026-4376,INV-0010,,PUR-0010-3,AGR-006,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,GFT-SET,1159,1159,1159,0,Good,L. Marek,2026-05-05,2026-05-23,
RCP-0030,GRN-PL-2026-0030,PO-2026-8291,INV-0011,,PUR-0011-0,AGR-006,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,MSC-200,1159,1159,1159,0,Good,J. Horák,2026-05-15,2026-05-14,
RCP-0031,GRN-PL-2026-0031,PO-2026-8291,INV-0011,,PUR-0011-1,AGR-006,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,EDP-100,1159,1159,1159,0,Good,L. Marek,2026-05-15,2026-05-17,
RCP-0032,GRN-PL-2026-0032,PO-2026-8291,INV-0011,,PUR-0011-2,AGR-006,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,LIP-004,1159,1159,1159,0,Good,K. Dvořák,2026-05-15,2026-05-20,
RCP-0033,GRN-PL-2026-0033,PO-2026-8291,INV-0011,,PUR-0011-3,AGR-006,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,GFT-SET,1157,1157,1157,0,Good,L. Marek,2026-05-15,2026-05-23,
RCP-0034,GRN-CZ-2026-0034,PO-2026-7023,INV-0012,,PUR-0012-0,AGR-006,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,MSC-200,1060,1060,1060,0,Good,L. Marek,2026-05-10,2026-05-14,2026-05-05
RCP-0035,GRN-CZ-2026-0035,PO-2026-7023,INV-0012,,PUR-0012-1,AGR-006,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,EDP-100,1060,1060,1036,24,Partial,P. Novák,2026-05-10,2026-05-17,
RCP-0036,GRN-CZ-2026-0036,PO-2026-7023,INV-0012,,PUR-0012-2,AGR-006,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,LIP-004,1060,1060,1060,0,Good,M. Kowalski,2026-05-10,2026-05-20,
RCP-0037,GRN-CZ-2026-0037,PO-2026-7023,INV-0012,,PUR-0012-3,AGR-006,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,GFT-SET,1061,1061,1061,0,Good,L. Marek,2026-05-10,2026-05-23,
