receiptId,grnNumber,poRef,invoiceRef,deliveryNoteRef,purchaseId,agreementId,country,storageId,warehouseKind,reachedStep,scannedAtMain,stockId,qtyOrdered,qtyReceived,qtyAccepted,qtyRejected,condition,inspectedBy,orderDate,receiptDate,vatTaxPointDate
RCP-0070,GRN-SK-2026-0070,PO-2026-3012,INV-0024,,PUR-0024-0,AGR-012,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,CRM-050,739,739,722,17,Partial,M. Kowalski,2026-09-14,2026-09-14,
RCP-0071,GRN-SK-2026-0071,PO-2026-3012,INV-0024,,PUR-0024-1,AGR-012,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,GFT-SET,739,739,739,0,Good,M. Kowalski,2026-09-14,2026-09-17,
RCP-0072,GRN-SK-2026-0072,PO-2026-3012,INV-0024,,PUR-0024-2,AGR-012,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,EDP-100,739,739,739,0,Good,J. Horák,2026-09-14,2026-09-20,
RCP-0073,GRN-SK-2026-0073,PO-2026-3012,INV-0024,,PUR-0024-3,AGR-012,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,EDP-050,738,738,738,0,Good,A. Szabó,2026-09-14,2026-09-23,
RCP-0074,GRN-PL-2026-0074,PO-2026-3066,INV-0025,,PUR-0025-0,AGR-012,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,CRM-050,668,668,668,0,Good,K. Dvořák,2026-09-07,2026-09-14,
RCP-0075,GRN-PL-2026-0075,PO-2026-3066,INV-0025,,PUR-0025-1,AGR-012,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,GFT-SET,668,668,668,0,Good,L. Marek,2026-09-07,2026-09-17,
RCP-0076,GRN-PL-2026-0076,PO-2026-3066,INV-0025,,PUR-0025-2,AGR-012,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,EDP-100,668,668,668,0,Good,L. Marek,2026-09-07,2026-09-20,
RCP-0077,GRN-PL-2026-0077,PO-2026-3066,INV-0025,,PUR-0025-3,AGR-012,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,EDP-050,669,669,669,0,Good,A. Szabó,2026-09-07,2026-09-23,
RCP-0078,GRN-CZ-2026-0078,PO-2026-7995,INV-0026,,PUR-0026-0,AGR-012,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,CRM-050,617,617,617,0,Good,P. Novák,2026-09-11,2026-09-14,
RCP-0079,GRN-CZ-2026-0079,PO-2026-7995,INV-0026,,PUR-0026-1,AGR-012,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,GFT-SET,617,617,617,0,Good,J. Horák,2026-09-11,2026-09-17,
RCP-0080,GRN-CZ-2026-0080,PO-2026-7995,INV-0026,,PUR-0026-2,AGR-012,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,EDP-100,617,617,617,0,Good,A. Szabó,2026-09-11,2026-09-20,
RCP-0081,GRN-CZ-2026-0081,PO-2026-7995,INV-0026,,PUR-0026-3,AGR-012,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,EDP-050,617,617,613,4,Partial,L. Marek,2026-09-11,2026-09-23,
