invoice_number,stock_id,storage_id,qty_received,receipt_datetime,recadv_ref
INV-2026-06,SKU-1003,WH-CENTRAL,950,2026-02-25T09:00:00,RECADV-INV-2026-06-0
INV-2026-06,SKU-1003,WH-BA,950,2026-02-14T09:00:00,RECADV-INV-2026-06-1
INV-2026-06,SKU-1003,WH-KE,950,2026-02-22T09:00:00,RECADV-INV-2026-06-2
INV-2026-06,SKU-1003,WH-ZA,950,2026-02-13T09:00:00,RECADV-INV-2026-06-3
INV-2026-06,SKU-1001,WH-CENTRAL,200,2026-02-18T09:00:00,RECADV-INV-2026-06-0
INV-2026-06,SKU-1001,WH-BA,200,2026-02-23T09:00:00,RECADV-INV-2026-06-1
INV-2026-06,SKU-1001,WH-KE,200,2026-02-12T09:00:00,RECADV-INV-2026-06-2
INV-2026-06,SKU-1001,WH-ZA,200,2026-02-26T09:00:00,RECADV-INV-2026-06-3
INV-2026-06,SKU-1004,WH-CENTRAL,925,2026-02-19T09:00:00,RECADV-INV-2026-06-0
INV-2026-06,SKU-1004,WH-BA,925,2026-02-25T09:00:00,RECADV-INV-2026-06-1
INV-2026-06,SKU-1004,WH-KE,925,2026-02-17T09:00:00,RECADV-INV-2026-06-2
INV-2026-06,SKU-1004,WH-ZA,925,2026-02-19T09:00:00,RECADV-INV-2026-06-3
