invoice_number,stock_id,storage_id,qty_received,receipt_datetime,recadv_ref
INV-2026-19,SKU-1001,WH-CENTRAL,428,2026-08-26T09:00:00,RECADV-INV-2026-19-0
INV-2026-19,SKU-1001,WH-BA,428,2026-08-14T09:00:00,RECADV-INV-2026-19-1
INV-2026-19,SKU-1001,WH-KE,427,2026-08-18T09:00:00,RECADV-INV-2026-19-2
INV-2026-19,SKU-1001,WH-ZA,427,2026-08-24T09:00:00,RECADV-INV-2026-19-3
INV-2026-19,SKU-1003,WH-CENTRAL,338,2026-08-25T09:00:00,RECADV-INV-2026-19-0
INV-2026-19,SKU-1003,WH-BA,338,2026-08-21T09:00:00,RECADV-INV-2026-19-1
INV-2026-19,SKU-1003,WH-KE,337,2026-08-19T09:00:00,RECADV-INV-2026-19-2
INV-2026-19,SKU-1003,WH-ZA,337,2026-08-23T09:00:00,RECADV-INV-2026-19-3
INV-2026-19,SKU-1005,WH-CENTRAL,540,2026-08-15T09:00:00,RECADV-INV-2026-19-0
INV-2026-19,SKU-1005,WH-BA,540,2026-08-18T09:00:00,RECADV-INV-2026-19-1
INV-2026-19,SKU-1005,WH-KE,540,2026-08-22T09:00:00,RECADV-INV-2026-19-2
INV-2026-19,SKU-1005,WH-ZA,540,2026-08-19T09:00:00,RECADV-INV-2026-19-3
