invoice_number,stock_id,storage_id,qty_received,receipt_datetime,recadv_ref
INV-2026-03,SKU-1001,WH-CENTRAL,126,2026-01-18T09:00:00,RECADV-INV-2026-03-0
INV-2026-03,SKU-1001,WH-ZA,128,2026-01-12T09:00:00,RECADV-INV-2026-03-1
INV-2026-03,SKU-1001,WH-KE,129,2026-01-18T09:00:00,RECADV-INV-2026-03-2
INV-2026-03,SKU-1001,WH-PO,154,2026-01-09T09:00:00,RECADV-INV-2026-03-3
INV-2026-03,SKU-1001,WH-BA,63,2026-01-09T09:00:00,RECADV-INV-2026-03-4
INV-2026-03,SKU-1004,WH-CENTRAL,276,2026-01-08T09:00:00,RECADV-INV-2026-03-0
INV-2026-03,SKU-1004,WH-ZA,460,2026-01-15T09:00:00,RECADV-INV-2026-03-1
INV-2026-03,SKU-1004,WH-KE,524,2026-01-18T09:00:00,RECADV-INV-2026-03-2
INV-2026-03,SKU-1004,WH-PO,593,2026-01-11T09:00:00,RECADV-INV-2026-03-3
INV-2026-03,SKU-1004,WH-BA,747,2026-01-15T09:00:00,RECADV-INV-2026-03-4
